loan_id,age,occupation,employment_sector,monthly_income,wealth_index,loan_amount,tenure_months,interest_rate,missed_payments,repayment_ratio,outstanding_balance,default_flag
LN00042,60,teacher,public,50000.0,1,2000000.0,17,13.0,0,0.8909,218146.64,0
LN00043,42,other,public,50000.0,3,160673.43,12,14.0,1,0.9801,3199.35,0
LN00044,28,teacher,private,53426.8,1,511000.62,13,12.7,1,0.996,2039.77,0
LN00045,73,trader,public,240999.03,5,289353.95,8,10.4,0,0.824,50934.06,0
LN00046,47,trader,informal,145356.08,5,162726.47,8,17.7,4,0.8989,16452.3,1
LN00047,69,civil_servant,public,50000.0,2,61196.7,6,17.4,5,0.7694,14109.0,1
LN00048,58,civil_servant,public,50000.0,2,1507347.35,13,10.5,0,0.1874,1224904.27,1
LN00049,63,civil_servant,public,51799.19,1,199971.67,16,11.7,0,0.8463,30736.17,0
LN00050,62,farmer,private,51141.16,3,50000.0,11,15.1,3,0.9206,3967.88,1
LN00051,34,teacher,private,57494.02,1,167762.84,6,17.1,0,0.8194,30291.36,0
LN00052,43,civil_servant,private,50000.0,4,1024949.84,12,8.7,0,0.0354,988656.79,1
LN00053,48,civil_servant,informal,67064.04,5,263092.1,20,7.8,1,0.3173,179620.3,0
LN00054,49,teacher,public,182132.43,1,50000.0,17,13.1,1,0.9282,3590.27,0
LN00055,27,farmer,self_employed,50000.0,3,50000.0,11,7.5,0,0.0377,48115.69,1
LN00056,52,civil_servant,public,50000.0,2,148781.56,24,5.0,0,0.7122,42825.39,0
LN00057,32,trader,public,132438.14,2,444843.99,28,8.7,3,0.7273,121298.89,1
LN00058,62,farmer,private,86557.32,1,161211.95,9,13.7,5,0.3959,97380.28,1
LN00059,59,farmer,public,50000.0,3,755369.25,10,18.2,0,0.7337,201119.06,0
LN00060,71,farmer,private,50000.0,1,103394.38,16,9.2,0,0.9054,9780.39,0
LN00061,62,civil_servant,self_employed,87584.7,4,552869.98,6,11.5,0,0.7268,151033.22,0
LN00062,43,civil_servant,self_employed,148441.59,2,370099.2,17,12.6,0,0.9483,19119.85,0
LN00063,73,trader,private,259953.07,2,190503.5,12,9.4,0,0.8519,28204.74,0
LN00064,45,civil_servant,private,62766.83,4,316281.72,14,9.1,1,0.9448,17457.24,0
LN00065,41,farmer,public,50000.0,3,643281.3,8,13.3,0,0.8157,118528.04,0
LN00066,70,civil_servant,public,50000.0,2,137682.43,7,7.2,2,0.392,83712.3,0
LN00067,43,teacher,public,63028.93,2,419024.84,6,8.9,2,0.8343,69443.57,0
LN00068,28,farmer,self_employed,87091.98,2,152976.41,20,11.2,2,0.3428,100528.76,0
LN00069,48,other,informal,50000.0,1,441493.43,17,13.3,0,0.8936,46958.21,0
LN00070,64,teacher,public,71007.42,4,107474.07,16,5.9,1,0.8031,21157.43,0
LN00071,34,farmer,private,208150.76,1,381351.53,14,11.5,0,0.8031,75095.72,0
LN00072,48,civil_servant,self_employed,50000.0,2,272887.17,6,6.8,0,0.0507,259044.45,1
LN00073,31,trader,self_employed,63123.74,3,123163.56,7,9.3,1,0.8546,17907.64,0
LN00074,59,civil_servant,private,50000.0,2,1158162.74,10,15.2,2,0.9301,80957.22,0
LN00075,48,other,private,101724.65,4,373845.77,6,11.7,2,0.8312,63094.07,0
LN00076,41,farmer,self_employed,52307.31,1,669297.86,6,18.7,0,0.9839,10761.02,0
LN00077,36,civil_servant,informal,72746.01,1,1699712.19,6,11.7,1,0.245,1283355.06,1
LN00078,53,civil_servant,public,50000.0,2,806183.06,12,15.9,0,0.9464,43182.01,0
LN00079,58,trader,informal,50000.0,2,896895.61,12,15.2,1,0.8333,149477.82,0
LN00080,72,civil_servant,public,50000.0,4,226341.04,17,11.9,0,0.8752,28252.62,0
LN00081,46,artisan,self_employed,50000.0,2,113165.17,24,6.7,2,0.8318,19031.15,0
LN00082,33,civil_servant,public,50000.0,1,237466.57,16,11.6,4,0.1795,194835.44,1
LN00083,66,artisan,public,269176.75,1,101896.05,10,9.9,0,0.7432,26163.29,0
LN00084,56,teacher,public,50000.0,2,451375.66,22,9.7,3,0.7787,99880.26,1
LN00085,60,trader,private,50000.0,2,515975.03,6,12.6,1,0.9501,25739.76,0
LN00086,29,civil_servant,public,50000.0,1,212155.77,6,6.2,1,0.7814,46377.02,0
LN00087,40,other,public,50000.0,2,333922.73,6,8.5,0,0.3733,209269.23,0
LN00088,63,teacher,private,50000.0,4,62791.72,16,8.0,0,0.8045,12274.92,0
LN00089,66,trader,private,208756.29,2,270217.95,13,11.0,0,0.0001,270177.64,1
LN00090,46,trader,self_employed,50000.0,3,50000.0,6,8.9,0,0.7795,11024.72,0
LN00091,65,farmer,informal,85696.87,1,414314.54,7,9.2,1,0.9393,25148.72,0
LN00092,67,artisan,self_employed,93266.28,3,54268.08,6,12.5,0,0.7898,11408.77,0
LN00093,44,artisan,public,92612.55,1,664814.81,6,10.2,0,0.9971,1904.9,0
LN00094,69,teacher,public,62738.92,2,438545.59,21,12.0,3,0.9512,21398.52,1
LN00095,39,farmer,informal,189156.36,1,57693.76,11,7.5,1,0.0074,57269.43,1
LN00096,36,civil_servant,public,63665.68,1,188447.46,22,8.7,0,0.7921,39169.09,0
LN00097,59,artisan,private,56862.12,1,91604.63,6,20.2,1,0.8859,10448.62,0
LN00098,56,trader,informal,82160.2,1,50000.0,14,9.2,0,0.9734,1328.48,0
LN00099,31,teacher,informal,50000.0,4,891581.5,13,5.0,2,0.7113,257389.6,0
LN00100,66,other,private,107753.2,1,50000.0,17,13.4,0,0.9831,845.47,0
LN00101,34,other,self_employed,132215.32,5,156292.52,13,9.2,0,0.9721,4361.37,0
LN00102,65,trader,private,154171.87,2,279227.37,17,13.0,4,0.7988,56185.67,1
LN00103,25,teacher,self_employed,81413.79,1,256406.75,15,11.6,0,0.7619,61058.09,0
LN00104,64,farmer,public,67635.01,2,138142.84,6,14.2,0,0.7543,33937.68,0
LN00105,64,other,public,500000.0,1,409980.41,16,11.6,0,0.9437,23092.27,0
LN00106,64,artisan,private,108967.63,3,837663.64,11,11.1,0,0.9322,56785.88,0
LN00107,58,civil_servant,public,270411.95,1,80433.91,7,16.6,2,0.87,10457.6,0
LN00108,48,trader,self_employed,123983.28,4,65973.01,16,5.0,0,0.9246,4973.78,0
LN00109,60,farmer,public,206977.46,1,50000.0,17,6.7,0,0.7493,12536.5,0
LN00110,38,artisan,informal,72696.66,1,50613.48,9,8.7,3,0.9411,2983.16,1
LN00111,64,artisan,self_employed,50000.0,1,84845.26,9,5.2,0,0.9064,7939.3,0
LN00112,52,teacher,private,50000.0,3,50000.0,6,10.1,0,0.7277,13616.37,0
LN00113,47,trader,self_employed,57605.79,2,369448.08,6,9.7,0,0.7483,92973.6,0
LN00114,50,trader,public,50000.0,4,350074.09,10,15.9,3,0.2861,249911.16,1
LN00115,53,artisan,private,164252.24,2,81579.75,16,11.6,0,0.0196,79976.87,1
LN00116,26,civil_servant,public,50000.0,1,322472.44,8,11.1,1,0.7931,66711.66,0
LN00117,31,teacher,informal,130499.38,3,193752.42,20,10.5,1,0.9751,4816.1,0
LN00118,37,artisan,self_employed,50000.0,2,431199.18,10,7.8,0,0.8622,59429.82,0
LN00119,30,artisan,informal,113629.23,3,52686.35,10,15.6,2,0.7617,12554.11,0
LN00120,46,trader,informal,179603.24,2,720934.95,10,16.8,3,0.8276,124261.86,1
LN00121,58,artisan,informal,128712.32,3,248497.96,17,7.2,1,0.9339,16428.39,0
LN00122,57,civil_servant,public,50000.0,1,192487.74,6,18.5,2,0.9721,5374.52,0
LN00123,48,civil_servant,informal,117042.24,5,299331.72,11,9.3,0,0.7236,82747.59,0
LN00124,67,trader,private,78202.03,1,770014.43,8,9.0,0,0.9629,28582.35,0
LN00125,53,civil_servant,private,50000.0,3,228084.87,8,13.9,1,0.8694,29794.95,0
LN00126,28,farmer,private,50000.0,1,106623.95,12,14.2,0,0.1588,89696.24,1
LN00127,63,farmer,public,50000.0,3,607348.29,11,11.7,0,0.75,151862.27,0
LN00128,53,civil_servant,public,105065.08,4,177248.04,18,10.6,0,0.7562,43217.01,0
LN00129,56,artisan,public,140635.16,4,209491.56,11,16.7,0,0.9795,4297.29,0
LN00130,53,trader,public,81358.2,2,652832.58,15,9.5,2,0.7241,180126.56,0
LN00131,52,artisan,private,243939.82,2,491348.33,13,11.7,0,0.944,27491.3,0
LN00132,29,farmer,informal,50000.0,3,114151.72,20,18.8,1,0.9853,1673.98,0
LN00133,52,teacher,private,67904.25,2,147840.52,10,6.7,0,0.7966,30075.66,0
LN00134,64,civil_servant,private,50000.0,2,741265.88,10,10.2,1,0.9266,54378.94,0
LN00135,40,civil_servant,private,119212.28,1,50000.0,16,16.1,0,0.8361,8194.01,0
LN00136,55,trader,private,66618.8,2,202404.13,10,14.1,0,0.992,1619.31,0
LN00137,26,farmer,public,172592.9,2,367536.17,14,15.6,0,0.7522,91082.3,0
LN00138,42,teacher,self_employed,72168.41,3,236481.8,26,6.7,0,0.7597,56825.95,0
LN00139,46,trader,public,104327.1,1,216504.45,6,13.3,0,0.7432,55601.04,0
LN00140,74,civil_servant,self_employed,142018.83,2,711658.29,21,10.9,1,0.9654,24613.76,0
LN00141,35,farmer,self_employed,50000.0,3,223349.14,9,21.1,4,0.9483,11548.86,1
LN00142,38,trader,private,77779.54,2,416323.22,20,15.2,1,0.7714,95164.86,0
LN00143,45,artisan,informal,127845.73,4,734218.61,16,11.9,0,0.8084,140703.08,0
LN00144,74,teacher,public,50000.0,1,50000.0,15,13.1,1,0.9451,2744.16,0
LN00145,67,civil_servant,informal,50000.0,2,724296.57,11,12.2,0,0.8245,127092.8,0
LN00146,26,civil_servant,self_employed,50000.0,2,50000.0,10,14.8,1,0.7891,10547.44,0
LN00147,36,trader,self_employed,50000.0,2,493650.8,7,8.6,1,0.8392,79363.44,0
LN00148,66,trader,self_employed,50000.0,3,385806.24,12,17.5,0,0.9842,6090.89,0
LN00149,27,artisan,self_employed,50000.0,1,50000.0,10,6.7,2,0.9003,4985.41,0
LN00150,67,artisan,informal,50000.0,2,406398.84,13,12.8,0,0.7506,101352.61,0
LN00151,39,civil_servant,private,50000.0,1,451012.68,6,8.7,0,0.978,9917.55,0
LN00152,70,trader,self_employed,60981.43,2,303940.56,12,12.2,1,0.9165,25383.3,0
LN00153,39,civil_servant,self_employed,50000.0,3,658736.62,19,16.0,2,0.965,23046.26,0
LN00154,46,civil_servant,private,87720.97,1,172134.81,17,5.2,2,0.7127,49459.26,0
LN00155,58,artisan,informal,75683.72,2,50000.0,12,11.3,0,0.7038,14807.97,0
LN00156,31,artisan,public,63093.19,2,50600.93,27,6.2,1,0.8794,6103.99,0
LN00157,52,artisan,private,50000.0,3,346859.57,8,10.9,6,0.8892,38424.93,1
LN00158,50,civil_servant,public,195564.48,1,1177224.32,11,6.2,0,0.7242,324651.64,0
LN00159,64,teacher,public,50000.0,2,1255571.74,6,12.6,0,0.8733,159138.64,0
LN00160,74,trader,self_employed,79693.42,3,797937.59,9,10.3,0,0.8522,117973.42,0
LN00161,58,other,public,123848.53,2,104469.39,22,15.0,2,0.9126,9127.61,0
LN00162,45,teacher,public,50000.0,3,266415.07,9,16.9,0,0.7457,67746.9,0
LN00163,45,farmer,public,50000.0,2,112321.53,6,12.0,1,0.8496,16888.87,0
LN00164,45,civil_servant,private,50000.0,4,153291.56,17,15.6,0,0.9952,742.96,0
LN00165,65,trader,self_employed,162861.11,1,184143.02,14,17.5,0,0.9021,18021.3,0
LN00166,41,artisan,informal,50000.0,1,729513.14,16,8.3,0,0.7223,202595.33,0
LN00167,33,trader,public,337772.28,2,635980.3,10,17.7,0,0.941,37505.04,0
LN00168,41,teacher,private,50000.0,2,869774.41,6,11.9,2,0.7412,225057.89,0
LN00169,26,trader,private,110883.3,2,50000.0,10,8.1,0,0.9722,1391.31,0
LN00170,30,other,private,50000.0,1,184363.73,15,13.2,0,0.977,4237.87,0
LN00171,29,civil_servant,private,103295.38,1,136575.93,11,11.7,3,0.1254,119454.12,1
LN00172,63,farmer,public,50000.0,3,97260.56,14,6.4,0,0.8849,11195.67,0
LN00173,61,trader,private,50000.0,1,50396.0,8,7.6,1,0.3304,33746.17,0
LN00174,59,trader,private,50000.0,3,316533.02,14,18.5,0,0.0096,313499.94,1
LN00175,48,trader,private,99314.23,2,72151.41,11,13.1,3,0.8811,8581.87,1
LN00176,60,civil_servant,private,50000.0,1,264543.29,7,17.9,0,0.082,242860.17,1
LN00177,33,other,self_employed,50000.0,3,142091.51,12,10.3,0,0.8672,18873.12,0
LN00178,70,farmer,self_employed,125077.81,4,50000.0,9,8.8,1,0.0899,45505.79,1
LN00179,50,other,public,50000.0,3,172666.38,15,5.3,0,0.9593,7032.89,0
LN00180,71,other,self_employed,50000.0,1,110136.43,17,15.9,0,0.9181,9023.43,0
LN00181,32,teacher,informal,50000.0,2,869442.94,15,13.6,0,0.9614,33527.19,0
LN00182,49,trader,public,50000.0,4,417638.04,6,10.4,0,0.889,46358.48,0
LN00183,59,farmer,private,52609.16,2,144158.63,6,8.8,1,0.8089,27551.47,0
LN00184,49,civil_servant,public,266895.38,1,257945.55,8,16.5,0,0.8547,37484.2,0
LN00185,47,artisan,self_employed,53498.34,1,1012750.26,7,11.3,2,0.0766,935181.58,1
LN00186,33,trader,public,68629.46,3,291949.5,8,11.3,0,0.9639,10532.48,0
LN00187,44,teacher,self_employed,50000.0,3,817857.69,17,9.6,1,0.9578,34508.46,0
LN00188,36,trader,public,50000.0,4,87789.84,16,10.4,0,0.1815,71859.12,1
LN00189,40,trader,private,50000.0,4,648480.59,9,14.2,0,0.384,399462.53,0
LN00190,59,civil_servant,informal,500000.0,1,926987.55,15,6.3,1,0.2706,676163.78,1
LN00191,56,trader,public,72676.69,2,194480.43,13,12.3,1,0.1598,163393.32,1
LN00192,55,trader,informal,136307.75,1,212568.86,11,15.8,2,0.8344,35206.24,0
LN00193,43,civil_servant,informal,61444.39,1,316571.23,18,11.7,0,0.8872,35722.29,0
LN00194,72,civil_servant,informal,303855.0,1,383936.79,8,16.2,3,0.7889,81056.59,1
LN00195,29,teacher,public,50000.0,4,229500.99,12,17.4,4,0.7023,68321.41,1
LN00196,42,trader,self_employed,50000.0,1,65365.83,6,15.6,5,0.7822,14234.82,1
LN00197,30,artisan,public,56513.53,2,50000.0,6,9.9,0,0.7656,11717.96,0
LN00198,41,civil_servant,public,50000.0,2,589738.74,6,11.9,0,0.9873,7482.56,0
LN00199,73,teacher,informal,50000.0,1,73110.63,6,13.4,1,0.1396,62905.46,1
LN00200,43,civil_servant,self_employed,141863.0,2,50000.0,12,10.1,0,0.7287,13563.27,0
LN00201,70,trader,private,119931.06,1,195804.52,10,10.0,2,0.9197,15722.05,0
LN00202,49,teacher,public,54407.59,2,175308.2,10,9.7,0,0.7264,47961.3,0
LN00203,59,teacher,self_employed,50000.0,2,708300.55,10,22.2,2,0.7381,185477.42,0
LN00204,47,trader,self_employed,50000.0,3,50000.0,22,10.9,0,0.934,3299.5,0
LN00205,38,trader,private,89881.55,3,483546.52,6,16.3,3,0.8943,51108.04,1
LN00206,63,civil_servant,informal,50000.0,3,245549.08,6,8.5,1,0.2831,176036.83,0
LN00207,73,trader,public,143811.72,2,185019.11,6,18.8,0,0.7264,50623.5,0
LN00208,38,trader,public,113552.94,1,272439.08,11,10.5,0,0.779,60219.83,0
LN00209,63,teacher,private,166173.51,2,223241.1,15,12.2,0,0.9272,16250.83,0
LN00210,38,trader,informal,70658.13,5,55666.23,15,5.0,3,0.2009,44481.77,1
LN00211,60,artisan,public,50000.0,1,72841.6,17,16.5,0,0.8181,13253.43,0
LN00212,64,trader,public,50000.0,1,424920.48,11,17.3,1,0.2913,301159.33,0
LN00213,47,civil_servant,public,50000.0,4,50000.0,9,7.3,0,0.347,32652.18,0
LN00214,61,civil_servant,informal,239523.17,4,155821.6,21,16.7,1,0.0222,152367.06,1
LN00215,38,civil_servant,public,61658.3,1,116617.55,6,6.7,0,0.9934,773.45,0
LN00216,28,trader,private,50000.0,3,59732.95,12,14.5,5,0.8142,11100.72,1
LN00217,29,artisan,informal,50585.29,2,382594.29,14,10.8,1,0.9537,17718.39,0
LN00218,47,artisan,public,50000.0,2,292521.83,23,17.3,2,0.9879,3552.86,0
LN00219,70,trader,private,50000.0,2,677203.02,6,13.0,2,0.7797,149211.13,0
LN00220,31,civil_servant,private,79772.3,5,489777.34,9,15.7,0,0.329,328641.93,0
LN00221,47,farmer,self_employed,50000.0,1,129565.65,6,17.0,0,0.7283,35201.08,0
LN00222,60,civil_servant,public,50000.0,3,240795.67,6,10.8,0,0.9086,22019.65,0
LN00223,35,trader,private,224644.6,1,124533.66,10,11.9,0,0.9143,10677.99,0
LN00224,61,farmer,public,171135.49,2,215981.73,16,7.6,0,0.8388,34822.56,0
LN00225,40,trader,self_employed,50000.0,3,50000.0,19,10.8,2,0.8042,9790.56,0
LN00226,65,civil_servant,self_employed,54868.91,3,680286.24,8,19.7,0,0.8197,122628.83,0
LN00227,53,civil_servant,public,104465.72,4,618399.07,15,15.0,1,0.8523,91350.06,0
LN00228,52,teacher,public,50000.0,3,74077.46,10,7.8,0,0.9369,4677.05,0
LN00229,33,civil_servant,informal,50000.0,3,140532.71,15,18.5,0,0.7305,37879.9,0
LN00230,48,teacher,public,102476.08,1,143930.39,18,13.6,0,0.8262,25021.79,0
LN00231,67,trader,public,205257.7,5,50000.0,10,15.3,0,0.9586,2068.19,0
LN00232,25,trader,private,92605.44,2,165667.14,18,14.0,3,0.2612,122393.66,1
LN00233,62,civil_servant,public,444636.65,2,313696.21,6,13.7,1,0.9501,15655.18,0
LN00234,49,artisan,public,50000.0,2,50000.0,15,5.0,0,0.2259,38704.02,1
LN00235,60,trader,private,224428.42,2,556839.97,18,16.4,1,0.8821,65662.59,0
LN00236,58,artisan,public,145912.52,2,746996.04,17,5.0,0,0.903,72447.68,0
LN00237,46,trader,private,50000.0,1,751329.82,6,16.1,0,0.9216,58927.49,0
LN00238,40,civil_servant,self_employed,50000.0,1,428933.52,10,12.4,0,0.9975,1069.21,0
LN00239,56,trader,private,107197.88,4,125990.41,13,15.3,0,0.1468,107496.58,1
LN00240,32,trader,public,264830.18,4,58150.51,14,12.6,2,0.8486,8806.57,0
LN00241,54,trader,self_employed,50000.0,2,180545.89,12,16.2,2,0.8054,35138.7,0
LN00242,29,artisan,public,235274.18,5,354539.73,20,12.1,1,0.7446,90537.78,0
LN00243,57,farmer,self_employed,50000.0,2,50000.0,6,13.1,0,0.9497,2516.99,0
LN00244,56,artisan,public,68630.41,2,1196380.28,10,13.6,0,0.9749,30058.09,0
LN00245,29,teacher,self_employed,50000.0,4,695717.23,6,19.5,0,0.9802,13800.11,0
LN00246,62,trader,public,50000.0,2,531934.91,15,14.4,0,0.9502,26503.18,0
LN00247,45,teacher,public,50000.0,3,641189.68,15,6.7,1,0.8173,117124.51,0
LN00248,64,civil_servant,private,67333.62,2,137336.37,32,9.7,0,0.7484,34558.68,0
LN00249,27,artisan,public,50000.0,2,207775.9,18,14.4,0,0.7203,58112.34,0
LN00250,33,farmer,public,366889.75,1,50000.0,13,17.0,1,0.3728,31360.26,0
LN00251,49,civil_servant,self_employed,109041.76,5,295509.59,13,9.1,0,0.8755,36778.18,0
LN00252,34,farmer,self_employed,50000.0,1,50000.0,10,21.0,1,0.7899,10505.54,0
LN00253,41,artisan,public,50000.0,2,50000.0,12,12.7,2,0.9847,762.91,0
LN00254,58,trader,informal,74752.55,1,51346.2,13,13.7,1,0.7312,13803.48,0
LN00255,32,farmer,self_employed,53367.15,2,206196.4,6,7.0,6,0.1472,175845.8,1
LN00256,58,civil_servant,informal,59312.81,2,267451.84,13,16.5,1,0.8187,48501.25,0
LN00257,30,civil_servant,self_employed,83051.07,3,272414.83,12,10.2,2,0.7707,62460.64,0
LN00258,33,trader,self_employed,50000.0,2,457441.99,22,9.0,1,0.0484,435315.84,1
LN00259,54,teacher,private,210031.54,1,106419.77,11,10.7,2,0.1558,89834.7,1
LN00260,64,trader,self_employed,50000.0,1,117759.32,7,17.5,0,0.8051,22950.02,0
LN00261,33,farmer,informal,50000.0,1,799113.5,13,13.9,0,0.7903,167566.11,0
LN00262,39,civil_servant,public,50000.0,3,454323.18,12,8.4,0,0.1298,395343.67,1
LN00263,71,civil_servant,public,50000.0,3,538871.66,11,9.9,1,0.1407,463032.95,1
LN00264,74,teacher,public,174033.15,1,2000000.0,6,17.6,0,0.7688,462414.46,0
LN00265,54,civil_servant,informal,50000.0,2,971087.64,11,11.1,6,0.8158,178922.65,1
LN00266,47,artisan,private,70792.08,1,1075586.77,8,14.2,1,0.8124,201827.69,0
LN00267,42,trader,self_employed,50000.0,4,1496018.49,10,15.2,0,0.8626,205595.68,0
LN00268,55,other,self_employed,103812.4,5,293303.56,16,5.0,0,0.8856,33542.8,0
LN00269,54,teacher,informal,50000.0,3,217194.01,7,17.1,2,0.7289,58886.61,0
LN00270,39,civil_servant,public,50000.0,1,50000.0,10,8.6,2,0.8382,8092.16,0
LN00271,26,civil_servant,self_employed,50000.0,2,555777.09,15,10.6,1,0.931,38337.42,0
LN00272,32,civil_servant,informal,50000.0,5,1001388.95,10,18.2,0,0.8029,197354.0,0
LN00273,72,other,public,50000.0,1,274576.92,27,17.8,3,0.9165,22934.09,1
LN00274,45,teacher,self_employed,148027.73,3,50000.0,13,14.0,3,0.1752,41238.45,1
LN00275,49,trader,public,50000.0,4,70460.26,6,14.9,3,0.8652,9499.19,1
LN00276,48,civil_servant,private,137697.16,3,50000.0,6,15.9,1,0.1142,44292.1,1
LN00277,64,farmer,private,111898.59,2,227642.22,6,17.7,0,0.8448,35335.32,0
LN00278,28,civil_servant,public,204033.65,2,467164.09,7,18.2,4,0.7553,114326.21,1
LN00279,29,artisan,public,167511.82,4,652596.01,15,12.4,0,0.7466,165361.03,0
LN00280,38,artisan,public,50000.0,2,633646.94,6,9.1,0,0.7525,156833.7,0
LN00281,49,civil_servant,public,155286.63,4,50000.0,10,11.0,1,0.9102,4490.4,0
LN00282,58,trader,private,179096.36,2,115916.48,18,12.5,0,0.9462,6238.59,0
LN00283,49,civil_servant,public,101671.67,3,50065.96,8,11.8,2,0.7701,11508.54,0
LN00284,47,trader,public,50000.0,4,214319.33,16,8.0,1,0.8691,28049.49,0
LN00285,71,other,self_employed,50000.0,2,709906.81,6,13.7,0,0.928,51098.92,0
LN00286,33,teacher,self_employed,50000.0,1,50000.0,9,5.7,1,0.8325,8373.33,0
LN00287,53,artisan,private,187674.58,1,978940.48,6,12.3,3,0.3083,677105.1,1
LN00288,52,trader,informal,50000.0,3,357669.17,13,12.6,3,0.3926,217239.9,1
LN00289,48,civil_servant,public,50000.0,2,50000.0,6,12.5,0,0.7507,12466.78,0
LN00290,65,artisan,self_employed,143902.0,1,50000.0,24,15.4,0,0.8,10000.91,0
LN00291,38,trader,public,72423.25,4,50000.0,6,14.9,0,0.9479,2603.23,0
LN00292,72,civil_servant,self_employed,50000.0,4,50000.0,18,20.9,2,0.1966,40172.18,1
LN00293,41,trader,informal,80383.2,4,1211451.05,17,9.9,1,0.7439,310311.07,0
LN00294,52,teacher,self_employed,109162.42,2,397693.55,13,13.1,0,0.7548,97519.93,0
LN00295,51,artisan,private,172043.8,5,473101.14,12,12.9,0,0.7187,133100.92,0
LN00296,67,civil_servant,private,271569.54,4,412319.08,23,12.7,2,0.1903,333875.24,1
LN00297,46,farmer,public,50000.0,1,968254.66,26,6.9,2,0.3319,646862.51,0
LN00298,39,trader,self_employed,52595.62,5,2000000.0,10,7.3,0,0.8101,379796.05,0
LN00299,26,civil_servant,self_employed,97007.56,2,50000.0,12,12.0,0,0.9027,4866.71,0
LN00300,43,civil_servant,informal,59006.45,4,331672.4,8,5.7,0,0.7713,75846.05,0
